Orthogroup,Zizania_palustris,Oryza_sativa
OG0000000,1,1
OG0000000,1,1
OG0000000,1,1
OG0000000,1,1
OG0000000,2,3
OG0000000,1,1
OG0000000,1,1
OG0000000,2,2
OG0000000,2,1
OG0000000,1,1
OG0000000,1,1
OG0000000,1,1
OG0000000,1,2
OG0000001,1,1
OG0000002,1,1
OG0000002,1,2
OG0000002,2,3
OG0000002,2,1
OG0000002,13,2
OG0000003,1,1
OG0000003,1,5
OG0000003,2,2
OG0000003,2,1
OG0000003,2,1
OG0000003,1,1
OG0000003,1,1
OG0000003,1,1
OG0000004,1,1
OG0000004,1,1
OG0000004,3,3
OG0000005,1,3
OG0000007,1,2
OG0000007,2,1
OG0000008,1,2
OG0000008,1,4
OG0000008,1,1
OG0000008,2,2
OG0000008,2,1
OG0000008,1,2
OG0000008,1,1
OG0000009,1,1
OG0000009,1,3
OG0000009,2,4
OG0000010,2,2
OG0000010,1,3
OG0000010,1,1
OG0000010,2,1
OG0000010,1,1
OG0000010,1,1
OG0000010,2,2
OG0000010,2,3
OG0000010,1,3
OG0000010,2,1
OG0000010,2,1
OG0000010,2,1
OG0000010,1,1
OG0000010,1,1
OG0000010,1,1
OG0000010,1,2
OG0000010,1,2
OG0000010,1,1
OG0000010,1,1
OG0000010,1,1
OG0000010,1,2
OG0000010,1,2
OG0000010,1,1
OG0000010,1,2
OG0000011,1,2
OG0000011,1,1
OG0000011,1,1
OG0000011,1,1
OG0000011,1,4
OG0000011,1,1
OG0000011,1,1
OG0000011,1,1
OG0000011,2,4
OG0000012,1,3
OG0000012,1,1
OG0000012,1,1
OG0000012,1,1
OG0000012,1,1
OG0000013,2,3
OG0000013,2,1
OG0000013,1,2
OG0000013,1,3
OG0000013,1,1
OG0000013,1,1
OG0000013,1,2
OG0000013,1,1
OG0000013,1,1
OG0000013,1,1
OG0000013,1,1
OG0000014,1,1
OG0000014,1,1
OG0000014,1,1
OG0000014,1,1
OG0000014,2,1
OG0000014,1,1
OG0000014,1,1
OG0000014,1,1
OG0000014,1,1
OG0000014,1,1
OG0000014,1,1
OG0000014,1,1
OG0000014,1,2
OG0000014,2,1
OG0000015,70,1
OG0000015,8,4
OG0000016,2,1
OG0000016,1,2
OG0000016,2,2
OG0000016,1,1
OG0000016,2,1
OG0000016,1,1
OG0000016,1,4
OG0000016,2,1
OG0000016,2,1
OG0000016,1,1
OG0000016,1,1
OG0000017,1,1
OG0000017,1,2
OG0000017,1,1
OG0000017,1,1
OG0000019,1,5
OG0000020,2,2
OG0000020,2,1
OG0000020,1,1
OG0000020,1,2
OG0000020,1,1
OG0000020,1,1
OG0000020,2,3
OG0000020,2,2
OG0000022,1,2
OG0000022,1,1
OG0000022,2,1
OG0000022,2,1
OG0000022,1,2
OG0000022,2,1
OG0000022,2,2
OG0000023,1,1
OG0000023,1,1
OG0000023,1,2
OG0000023,2,4
OG0000023,1,1
OG0000023,1,1
OG0000023,1,1
OG0000023,3,1
OG0000024,1,5
OG0000024,1,1
OG0000024,2,1
OG0000025,1,1
OG0000025,1,1
OG0000025,3,1
OG0000025,1,1
OG0000025,1,1
OG0000025,2,1
OG0000025,1,1
OG0000025,1,1
OG0000025,2,2
OG0000025,2,1
OG0000025,1,1
OG0000025,1,1
OG0000025,2,1
OG0000026,1,2
OG0000026,1,2
OG0000026,1,2
OG0000026,1,1
OG0000026,1,1
OG0000026,1,1
OG0000027,1,1
OG0000027,1,1
OG0000027,3,1
OG0000027,1,1
OG0000027,1,1
OG0000027,2,1
OG0000027,1,2
OG0000027,2,1
OG0000027,1,1
OG0000027,1,1
OG0000027,2,2
OG0000027,2,1
OG0000027,1,1
OG0000027,3,2
OG0000027,2,1
OG0000027,1,1
OG0000027,2,1
OG0000029,3,1
OG0000029,3,4
OG0000029,1,2
OG0000029,1,2
OG0000029,1,1
OG0000029,2,1
OG0000029,1,1
OG0000029,3,2
OG0000029,1,1
OG0000029,1,2
OG0000029,1,1
OG0000029,1,1
OG0000029,2,1
OG0000030,1,1
OG0000030,2,2
OG0000030,2,2
OG0000030,4,1
OG0000030,6,2
OG0000030,2,1
OG0000031,1,1
OG0000032,1,3
OG0000032,1,1
OG0000032,1,1
OG0000033,1,1
OG0000033,1,1
OG0000033,1,3
OG0000034,1,1
OG0000035,3,1
OG0000035,1,2
OG0000035,3,1
OG0000035,1,1
OG0000036,1,4
OG0000036,1,1
OG0000036,1,1
OG0000036,1,2
OG0000036,1,1
OG0000036,1,1
OG0000036,1,1
OG0000036,1,2
OG0000036,2,1
OG0000037,1,1
OG0000037,1,1
OG0000037,2,2
OG0000037,1,1
OG0000037,1,1
OG0000037,1,2
OG0000038,8,2
OG0000038,1,1
OG0000039,4,1
OG0000039,5,1
OG0000040,1,2
OG0000040,2,1
OG0000041,1,1
OG0000041,3,2
OG0000041,1,1
OG0000041,1,1
OG0000041,1,2
OG0000041,2,1
OG0000042,3,1
OG0000042,6,1
OG0000044,2,1
OG0000044,1,1
OG0000044,1,1
OG0000045,1,2
OG0000045,1,1
OG0000045,2,1
OG0000048,1,2
OG0000048,1,7
OG0000049,1,1
OG0000049,2,1
OG0000049,1,2
OG0000049,1,1
OG0000049,3,2
OG0000049,2,1
OG0000049,1,1
OG0000049,1,1
OG0000049,1,2
OG0000050,2,3
OG0000050,1,6
OG0000050,1,1
OG0000050,1,3
OG0000050,1,1
OG0000050,4,3
OG0000051,1,1
OG0000052,8,1
OG0000053,2,1
OG0000053,1,1
OG0000054,1,1
OG0000054,1,1
OG0000054,1,1
OG0000055,1,1
OG0000055,1,2
OG0000055,3,4
OG0000055,1,1
OG0000057,1,1
OG0000057,7,1
OG0000057,1,9
OG0000058,1,1
OG0000058,1,1
OG0000058,2,1
OG0000059,1,3
OG0000059,1,2
OG0000060,1,3
OG0000060,4,2
OG0000060,1,4
OG0000060,1,1
OG0000060,1,1
OG0000060,1,1
OG0000060,1,1
OG0000061,2,2
OG0000061,1,1
OG0000061,1,1
OG0000061,1,2
OG0000061,2,2
OG0000061,1,1
OG0000061,1,4
OG0000062,1,2
OG0000062,1,1
OG0000062,2,1
OG0000062,1,2
OG0000063,1,1
OG0000063,1,1
OG0000063,1,2
OG0000063,1,5
OG0000065,1,1
OG0000065,1,3
OG0000065,1,1
OG0000065,1,3
OG0000066,1,2
OG0000066,1,1
OG0000067,1,3
OG0000067,1,2
OG0000067,1,13
OG0000069,1,2
OG0000069,1,1
OG0000069,1,4
OG0000069,2,1
OG0000069,1,1
OG0000069,1,1
OG0000069,1,1
OG0000070,1,1
OG0000070,1,1
OG0000070,2,2
OG0000070,1,1
OG0000070,2,2
OG0000070,1,1
OG0000070,2,1
OG0000070,3,2
OG0000070,1,1
OG0000071,1,1
OG0000071,1,1
OG0000071,4,2
OG0000071,3,1
OG0000071,1,1
OG0000071,1,1
OG0000071,2,1
OG0000072,2,1
OG0000073,1,2
OG0000073,1,1
OG0000073,2,1
OG0000073,1,1
OG0000074,1,1
OG0000074,1,1
OG0000074,2,3
OG0000074,1,1
OG0000074,2,2
OG0000075,1,4
OG0000075,1,2
OG0000075,1,2
OG0000075,1,1
OG0000075,2,1
OG0000075,1,1
OG0000075,1,2
OG0000075,5,8
OG0000075,2,1
OG0000076,1,1
OG0000077,1,1
OG0000077,1,2
OG0000077,2,1
OG0000077,2,1
OG0000077,1,1
OG0000077,1,1
OG0000077,2,1
OG0000077,1,1
OG0000077,3,1
OG0000077,1,1
OG0000078,1,1
OG0000078,5,2
OG0000078,3,3
OG0000078,6,3
OG0000078,1,1
OG0000078,1,1
OG0000078,2,1
OG0000078,3,1
OG0000078,3,1
OG0000078,1,1
OG0000080,2,2
OG0000080,2,1
OG0000080,1,2
OG0000080,1,1
OG0000080,2,2
OG0000083,1,1
OG0000083,2,1
OG0000083,1,2
OG0000083,1,3
OG0000083,1,2
OG0000083,1,1
OG0000084,3,2
OG0000084,2,1
OG0000084,7,2
OG0000085,1,1
OG0000086,1,4
OG0000086,2,1
OG0000086,1,2
OG0000086,2,1
OG0000086,2,1
OG0000087,1,1
OG0000087,1,3
OG0000087,1,1
OG0000087,2,2
OG0000087,2,2
OG0000087,1,1
OG0000087,1,3
OG0000089,2,1
OG0000089,2,1
OG0000090,1,3
OG0000091,1,1
OG0000091,2,1
OG0000091,1,2
OG0000091,2,2
OG0000091,1,2
OG0000091,1,1
OG0000091,1,1
OG0000091,3,2
OG0000092,2,1
OG0000092,1,1
OG0000092,3,1
OG0000092,1,1
OG0000092,2,1
OG0000092,1,1
OG0000092,2,1
OG0000092,1,1
OG0000093,1,1
OG0000093,1,2
OG0000094,2,1
OG0000095,1,1
OG0000095,3,1
OG0000095,1,1
OG0000095,1,1
OG0000095,3,1
OG0000095,1,1
OG0000095,2,1
OG0000096,1,1
OG0000096,2,3
OG0000096,1,1
OG0000097,2,1
OG0000097,2,1
OG0000097,2,3
OG0000097,2,1
OG0000097,1,1
OG0000098,2,1
OG0000098,1,1
OG0000098,2,1
OG0000098,1,2
OG0000098,3,2
OG0000098,3,1
OG0000098,1,1
OG0000098,1,1
OG0000098,1,1
OG0000098,1,1
OG0000098,1,1
OG0000100,2,1
OG0000100,2,1
OG0000100,1,1
OG0000100,1,1
OG0000100,3,1
OG0000100,2,1
OG0000100,1,1
OG0000101,1,1
OG0000101,1,1
OG0000101,1,1
OG0000101,2,1
OG0000101,2,1
OG0000101,2,1
OG0000101,1,1
OG0000101,3,2
OG0000101,1,1
OG0000101,3,1
OG0000101,2,1
OG0000102,1,1
OG0000102,1,3
OG0000102,1,2
OG0000102,4,1
OG0000102,1,2
OG0000102,1,1
OG0000103,1,1
OG0000103,1,2
OG0000103,1,1
OG0000103,1,3
OG0000104,1,1
OG0000105,1,1
OG0000105,3,1
OG0000105,1,1
OG0000105,1,1
OG0000105,3,1
OG0000105,2,1
OG0000105,1,1
OG0000105,1,1
OG0000105,1,2
OG0000105,1,1
OG0000105,1,1
OG0000107,1,1
OG0000107,3,1
OG0000107,1,5
OG0000107,2,1
OG0000108,1,3
OG0000108,2,1
OG0000108,2,3
OG0000108,2,1
OG0000109,2,1
OG0000109,1,1
OG0000109,1,2
OG0000109,1,1
OG0000109,1,1
OG0000109,2,1
OG0000110,2,1
OG0000110,2,1
OG0000110,2,3
OG0000110,1,1
OG0000110,1,1
OG0000110,1,1
OG0000110,1,1
OG0000111,1,2
OG0000111,1,3
OG0000111,1,1
OG0000112,1,2
OG0000112,1,1
OG0000113,2,1
