#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Female_S1_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Female_S1_R2_001.fastq.gz
#Total	121737828
#Matched	8242143	6.77040%
#Name	Reads	ReadsPct
12496	1133475	0.93108%
80934	228247	0.18749%
1776	226801	0.18630%
50235	181297	0.14892%
37127	171467	0.14085%
1032	127552	0.10478%
43	120914	0.09932%
1445	113838	0.09351%
29946	111933	0.09195%
3972	107960	0.08868%
990	107548	0.08834%
5867	104074	0.08549%
17241	102996	0.08460%
1540	85040	0.06986%
33535	77506	0.06367%
776	69631	0.05720%
285	69182	0.05683%
199	64986	0.05338%
26259	59118	0.04856%
1924	56084	0.04607%
18326	55374	0.04549%
60282	54989	0.04517%
6617	54185	0.04451%
476	52522	0.04314%
16040	50753	0.04169%
20921	49968	0.04105%
28921	48462	0.03981%
7915	46227	0.03797%
105	45478	0.03736%
3206	43485	0.03572%
14857	42386	0.03482%
10738	42306	0.03475%
12885	41184	0.03383%
1133	40555	0.03331%
270803	38977	0.03202%
4878	38623	0.03173%
13009	38346	0.03150%
2051	36855	0.03027%
30406	36515	0.02999%
411	36119	0.02967%
3418	35016	0.02876%
4065	34945	0.02871%
2710	32936	0.02705%
21581	32491	0.02669%
5394	32252	0.02649%
5120	32024	0.02631%
11044	31469	0.02585%
12438	30859	0.02535%
2016	30582	0.02512%
2928	30271	0.02487%
9824	30041	0.02468%
13252	29589	0.02431%
1078	29215	0.02400%
33	28961	0.02379%
13904	28350	0.02329%
5467	28142	0.02312%
1586	28102	0.02308%
14947	27874	0.02290%
23440	27824	0.02286%
6050	27682	0.02274%
9545	27680	0.02274%
1500	27155	0.02231%
1831	26760	0.02198%
3624	26523	0.02179%
2822	25538	0.02098%
4381	25426	0.02089%
38364	24385	0.02003%
23305	24071	0.01977%
5463	23478	0.01929%
10703	23294	0.01913%
26750	22430	0.01842%
26437	21705	0.01783%
1755	21600	0.01774%
4157	21584	0.01773%
7359	21263	0.01747%
11835	21017	0.01726%
578	20979	0.01723%
59179	20762	0.01705%
65242	20702	0.01701%
9110	20060	0.01648%
33812	19360	0.01590%
3636	19276	0.01583%
956	18635	0.01531%
18050	18346	0.01507%
4903	18223	0.01497%
6648	18053	0.01483%
2879	17647	0.01450%
21381	17427	0.01432%
7078	17307	0.01422%
4605	17226	0.01415%
13232	17172	0.01411%
7556	16771	0.01378%
1265	16702	0.01372%
2912	16577	0.01362%
4151	16489	0.01354%
16147	16316	0.01340%
18746	15939	0.01309%
21813	15907	0.01307%
11786	15898	0.01306%
903	15670	0.01287%
92813	15550	0.01277%
6330	15521	0.01275%
1833	15324	0.01259%
8647	15106	0.01241%
842	15045	0.01236%
39636	14873	0.01222%
815	14644	0.01203%
46554	14635	0.01202%
8164	14581	0.01198%
3334	14506	0.01192%
1775	14432	0.01185%
1277	14383	0.01181%
211	14161	0.01163%
5523	13970	0.01148%
1984	13953	0.01146%
39350	13918	0.01143%
111826	13726	0.01128%
47337	13555	0.01113%
4246	13510	0.01110%
13689	13433	0.01103%
273	13433	0.01103%
