#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Flower_S8_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Flower_S8_R2_001.fastq.gz
#Total	102129820
#Matched	70665292	69.19163%
#Name	Reads	ReadsPct
80934	3385192	3.31460%
1776	3229479	3.16213%
37127	2602794	2.54852%
1445	2075646	2.03236%
17241	1816595	1.77871%
29946	1752332	1.71579%
50235	1708776	1.67314%
3972	1475545	1.44477%
43	1141904	1.11809%
12496	1005019	0.98406%
1032	990285	0.96963%
5867	863952	0.84594%
33535	792583	0.77605%
7915	763727	0.74780%
990	756723	0.74094%
776	736888	0.72152%
6617	719451	0.70445%
199	706401	0.69167%
28921	695356	0.68086%
1540	658262	0.64453%
285	602091	0.58953%
18326	593301	0.58093%
2822	550019	0.53855%
476	546826	0.53542%
16040	528710	0.51768%
4065	527793	0.51679%
3206	517459	0.50667%
33	511390	0.50073%
60282	501597	0.49114%
2051	498688	0.48829%
411	460106	0.45051%
12885	458739	0.44917%
105	434106	0.42505%
26259	431936	0.42293%
1924	429181	0.42023%
1133	425565	0.41669%
5120	418546	0.40982%
2710	409912	0.40136%
14857	402707	0.39431%
7359	399144	0.39082%
2016	384555	0.37654%
10738	380738	0.37280%
20921	374362	0.36656%
13252	368109	0.36043%
23305	350637	0.34332%
12438	348693	0.34142%
3418	339687	0.33260%
23440	337341	0.33031%
4878	332745	0.32581%
270803	318923	0.31227%
21581	284315	0.27839%
13009	275250	0.26951%
1078	275023	0.26929%
10703	263959	0.25845%
3624	259665	0.25425%
9824	256414	0.25107%
7117	253928	0.24863%
3636	252418	0.24715%
11044	248924	0.24373%
7078	235284	0.23038%
39350	235247	0.23034%
1755	234354	0.22947%
2928	230267	0.22547%
1831	224995	0.22030%
5467	222400	0.21776%
1265	220231	0.21564%
11835	218945	0.21438%
6050	215909	0.21141%
815	213858	0.20940%
18050	210114	0.20573%
4381	209042	0.20468%
38364	207875	0.20354%
26750	205922	0.20163%
7870	205862	0.20157%
21813	197043	0.19293%
834	194319	0.19027%
18746	190551	0.18658%
28574	186434	0.18255%
5394	178898	0.17517%
9110	177443	0.17374%
12883	176478	0.17280%
4151	174906	0.17126%
33812	169755	0.16621%
1500	167812	0.16431%
8164	167781	0.16428%
26437	160538	0.15719%
1984	159545	0.15622%
21381	158513	0.15521%
16147	156316	0.15306%
9545	155270	0.15203%
4388	153996	0.15078%
578	153782	0.15058%
2879	153641	0.15044%
57712	153052	0.14986%
127	151895	0.14873%
55660	151609	0.14845%
40458	149658	0.14654%
863	148782	0.14568%
38186	146320	0.14327%
111826	145311	0.14228%
273	144085	0.14108%
13232	139107	0.13621%
1063	138962	0.13606%
432	138034	0.13516%
2912	137803	0.13493%
11786	132044	0.12929%
4903	130337	0.12762%
9468	128743	0.12606%
903	127295	0.12464%
7605	126846	0.12420%
18954	126007	0.12338%
6330	125169	0.12256%
13904	124830	0.12223%
84901	124654	0.12205%
5523	121295	0.11877%
4605	118935	0.11645%
47337	118819	0.11634%
4887	118023	0.11556%
20680	117220	0.11478%
3461	116840	0.11440%
211	116815	0.11438%
8647	116356	0.11393%
1277	115650	0.11324%
4246	115490	0.11308%
19897	115108	0.11271%
1586	115044	0.11264%
5272	114088	0.11171%
9692	113457	0.11109%
5525	112265	0.10992%
35934	110075	0.10778%
1833	109408	0.10713%
3334	109261	0.10698%
7253	108516	0.10625%
842	107645	0.10540%
3501	106977	0.10475%
3095	106435	0.10422%
36802	104563	0.10238%
1467	104039	0.10187%
7622	102970	0.10082%
3929	102037	0.09991%
12359	101750	0.09963%
1146	100635	0.09854%
212	99762	0.09768%
5574	99306	0.09724%
22059	98230	0.09618%
21554	94659	0.09268%
210245	93051	0.09111%
32468	91534	0.08963%
9639	90717	0.08883%
36759	90030	0.08815%
7443	89510	0.08764%
136501	88116	0.08628%
115499	87380	0.08556%
46927	87202	0.08538%
70602	85492	0.08371%
39636	85476	0.08369%
6648	85398	0.08362%
50986	84569	0.08281%
26967	82331	0.08061%
46554	82027	0.08032%
