#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Leaf_S2_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Leaf_S2_R2_001.fastq.gz
#Total	98405454
#Matched	30241328	30.73135%
#Name	Reads	ReadsPct
1776	1239504	1.25959%
80934	1176141	1.19520%
12496	931256	0.94635%
37127	921691	0.93663%
50235	792906	0.80575%
1032	680024	0.69104%
1445	653790	0.66438%
17241	613054	0.62299%
29946	577700	0.58706%
5867	490292	0.49824%
990	463961	0.47148%
43	417661	0.42443%
3972	412080	0.41876%
1540	411060	0.41772%
33535	355969	0.36174%
26259	315967	0.32109%
199	300418	0.30529%
6617	298934	0.30378%
18326	273726	0.27816%
7915	254651	0.25878%
776	249527	0.25357%
1924	243494	0.24744%
28921	241851	0.24577%
16040	240139	0.24403%
285	221766	0.22536%
476	208271	0.21165%
3206	205721	0.20905%
60282	199094	0.20232%
20921	198365	0.20158%
12885	197415	0.20061%
11044	194140	0.19729%
14857	186333	0.18935%
4065	185898	0.18891%
411	183069	0.18604%
2051	182803	0.18577%
1133	179783	0.18270%
2710	174820	0.17765%
105	161563	0.16418%
10738	160953	0.16356%
5120	159596	0.16218%
13252	156927	0.15947%
2016	144567	0.14691%
12438	144375	0.14671%
33	144272	0.14661%
5394	143878	0.14621%
13009	142480	0.14479%
21581	138804	0.14105%
2822	137341	0.13957%
270803	131385	0.13351%
23305	130443	0.13256%
23440	126073	0.12812%
6050	124048	0.12606%
3418	122574	0.12456%
2928	122345	0.12433%
4878	120920	0.12288%
4381	120654	0.12261%
3624	117248	0.11915%
7359	113628	0.11547%
38364	110514	0.11230%
1831	109157	0.11093%
9824	109071	0.11084%
10703	108827	0.11059%
1078	107385	0.10913%
1755	97157	0.09873%
1500	94686	0.09622%
5467	91824	0.09331%
11835	90118	0.09158%
7078	86622	0.08803%
3636	86414	0.08781%
9545	85125	0.08650%
1265	84056	0.08542%
13904	83896	0.08526%
4151	81755	0.08308%
18050	79893	0.08119%
2879	79888	0.08118%
578	78445	0.07972%
39350	78310	0.07958%
7556	77646	0.07890%
8164	76363	0.07760%
16147	74917	0.07613%
26437	74533	0.07574%
21813	74220	0.07542%
26750	73911	0.07511%
18746	73681	0.07487%
21381	69286	0.07041%
1984	69113	0.07023%
863	68665	0.06978%
9110	68430	0.06954%
33812	67758	0.06886%
1586	67070	0.06816%
7117	66840	0.06792%
7870	66143	0.06721%
834	64756	0.06581%
28574	62763	0.06378%
6330	61719	0.06272%
7253	60253	0.06123%
273	59745	0.06071%
39636	58738	0.05969%
4903	58640	0.05959%
55660	58454	0.05940%
2912	58451	0.05940%
46554	58390	0.05934%
815	58145	0.05909%
11786	57274	0.05820%
4605	57273	0.05820%
9468	56990	0.05791%
6648	56794	0.05771%
13232	55720	0.05662%
1775	55521	0.05642%
903	55284	0.05618%
1833	54069	0.05495%
12883	53124	0.05398%
1063	52699	0.05355%
1277	52171	0.05302%
3095	52144	0.05299%
210245	52126	0.05297%
3461	52094	0.05294%
127	51633	0.05247%
111826	51124	0.05195%
18954	49846	0.05065%
3334	49615	0.05042%
5523	49588	0.05039%
432	49361	0.05016%
138927	49345	0.05014%
8647	48910	0.04970%
842	48170	0.04895%
64271	47868	0.04864%
10262	47649	0.04842%
1146	47531	0.04830%
47598	47390	0.04816%
35934	47063	0.04783%
14947	46862	0.04762%
5525	46341	0.04709%
47337	46178	0.04693%
4887	45681	0.04642%
211	45509	0.04625%
4388	45398	0.04613%
9639	45328	0.04606%
1467	45111	0.04584%
4246	44978	0.04571%
40458	44944	0.04567%
3501	44498	0.04522%
5272	44205	0.04492%
84901	44077	0.04479%
2419	44068	0.04478%
212	43865	0.04458%
57712	43800	0.04451%
20680	43772	0.04448%
7622	43625	0.04433%
136501	43011	0.04371%
36802	42984	0.04368%
19897	42920	0.04362%
9692	42683	0.04337%
5574	42251	0.04294%
7605	42087	0.04277%
38186	42018	0.04270%
