#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Male_S4_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Male_S4_R2_001.fastq.gz
#Total	108806166
#Matched	24018747	22.07480%
#Name	Reads	ReadsPct
1776	635947	0.58448%
80934	622062	0.57172%
1032	515175	0.47348%
50235	494987	0.45493%
37127	451474	0.41493%
29946	359231	0.33016%
1540	353798	0.32516%
1445	339922	0.31241%
199	337637	0.31031%
990	336718	0.30947%
17241	331521	0.30469%
43	330383	0.30364%
5867	288392	0.26505%
26259	283947	0.26097%
33535	250405	0.23014%
3972	242678	0.22304%
18326	221504	0.20358%
16040	198280	0.18223%
285	195270	0.17947%
3206	190929	0.17548%
12885	185937	0.17089%
6617	182952	0.16814%
105	180730	0.16610%
20921	173903	0.15983%
1924	169211	0.15552%
60282	168869	0.15520%
1133	161356	0.14830%
476	150663	0.13847%
11044	147499	0.13556%
776	146192	0.13436%
5394	143367	0.13176%
13904	141309	0.12987%
411	138288	0.12710%
23440	135452	0.12449%
21581	134278	0.12341%
4065	126659	0.11641%
5120	118441	0.10886%
7915	117114	0.10764%
1078	117007	0.10754%
28921	115190	0.10587%
1500	110572	0.10162%
21381	110175	0.10126%
14857	109519	0.10066%
2016	108775	0.09997%
10738	108128	0.09938%
12438	106921	0.09827%
2710	106020	0.09744%
2051	106017	0.09744%
4381	106011	0.09743%
10703	102574	0.09427%
38364	98759	0.09077%
2822	96397	0.08860%
3418	96325	0.08853%
9545	95185	0.08748%
13252	94873	0.08719%
11835	93869	0.08627%
9824	93822	0.08623%
2928	93171	0.08563%
4878	90900	0.08354%
13009	90268	0.08296%
4903	90227	0.08292%
26437	87913	0.08080%
1755	86159	0.07919%
270803	82276	0.07562%
1586	81658	0.07505%
7556	80944	0.07439%
5463	79545	0.07311%
33	79105	0.07270%
1831	79007	0.07261%
6648	78989	0.07260%
3624	77664	0.07138%
210245	76864	0.07064%
16147	74660	0.06862%
13232	74633	0.06859%
23305	74317	0.06830%
6050	71738	0.06593%
2879	71727	0.06592%
14947	70765	0.06504%
39350	70591	0.06488%
5467	70474	0.06477%
4151	70238	0.06455%
46554	67541	0.06207%
19431	67155	0.06172%
2419	67061	0.06163%
138927	66661	0.06127%
273	66627	0.06123%
1833	66593	0.06120%
26750	66545	0.06116%
7253	66359	0.06099%
47337	65532	0.06023%
90213	65318	0.06003%
12496	65209	0.05993%
834	64998	0.05974%
33812	64874	0.05962%
2841	64390	0.05918%
211	63971	0.05879%
11786	62612	0.05754%
64271	62144	0.05711%
2912	60692	0.05578%
9957	60349	0.05546%
47598	59648	0.05482%
903	59453	0.05464%
3636	57670	0.05300%
863	57223	0.05259%
9110	56930	0.05232%
5140	56865	0.05226%
39636	56212	0.05166%
18050	55275	0.05080%
1079	55178	0.05071%
4605	54922	0.05048%
29222	54872	0.05043%
35934	54339	0.04994%
550	53630	0.04929%
84901	53259	0.04895%
1265	52625	0.04837%
578	52356	0.04812%
18746	52352	0.04811%
8164	51718	0.04753%
36802	51462	0.04730%
4246	51192	0.04705%
815	49770	0.04574%
828	49368	0.04537%
5574	48920	0.04496%
5525	48798	0.04485%
8647	48608	0.04467%
20680	48245	0.04434%
1984	48209	0.04431%
21813	48061	0.04417%
64032	47543	0.04370%
50986	47496	0.04365%
5272	47334	0.04350%
7078	47284	0.04346%
55660	47037	0.04323%
13689	46974	0.04317%
9468	45936	0.04222%
6330	45822	0.04211%
7359	45766	0.04206%
842	45006	0.04136%
3334	44078	0.04051%
1775	44015	0.04045%
3095	43812	0.04027%
1277	41825	0.03844%
68623	41402	0.03805%
212	41328	0.03798%
1806	40848	0.03754%
40458	40067	0.03682%
5523	39753	0.03654%
545	39706	0.03649%
1467	39308	0.03613%
50911	39264	0.03609%
9639	39184	0.03601%
10262	37930	0.03486%
57712	37579	0.03454%
136501	37476	0.03444%
4744	37384	0.03436%
26303	37368	0.03434%
18954	37032	0.03403%
23133	37024	0.03403%
46927	36807	0.03383%
17783	36770	0.03379%
20821	36588	0.03363%
3929	36580	0.03362%
70602	36440	0.03349%
3501	36308	0.03337%
85770	36184	0.03326%
3461	36033	0.03312%
7622	35621	0.03274%
156754	35342	0.03248%
7443	34934	0.03211%
127	34357	0.03158%
16278	33920	0.03117%
26967	33695	0.03097%
30406	33681	0.03096%
21656	33417	0.03071%
4325	31885	0.02930%
4887	31821	0.02925%
374	31724	0.02916%
22280	31278	0.02875%
14300	31118	0.02860%
12420	31052	0.02854%
107133	30900	0.02840%
111826	30761	0.02827%
99775	30152	0.02771%
17100	29310	0.02694%
11503	29201	0.02684%
18654	28892	0.02655%
13852	28807	0.02648%
4620	28716	0.02639%
432	28619	0.02630%
5448	28532	0.02622%
4149	28518	0.02621%
15696	28464	0.02616%
15250	28360	0.02606%
34265	28179	0.02590%
2620	28049	0.02578%
2979	27948	0.02569%
10158	27882	0.02563%
1146	27867	0.02561%
9692	27745	0.02550%
44694	26990	0.02481%
7117	26973	0.02479%
115499	26934	0.02475%
729	26765	0.02460%
17418	26759	0.02459%
6451	26734	0.02457%
7298	26721	0.02456%
4373	26712	0.02455%
4513	26632	0.02448%
8397	26558	0.02441%
7605	26038	0.02393%
5451	25892	0.02380%
5921	25888	0.02379%
1102	25870	0.02378%
11175	25592	0.02352%
1051	25527	0.02346%
