#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Root_S5_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Root_S5_R2_001.fastq.gz
#Total	113348972
#Matched	97921687	86.38957%
#Name	Reads	ReadsPct
80934	5582374	4.92494%
1776	4406042	3.88715%
1445	4041526	3.56556%
17241	3779288	3.33421%
37127	3648261	3.21861%
29946	2979990	2.62904%
50235	1973801	1.74135%
3972	1809372	1.59628%
1032	1568335	1.38363%
43	1512875	1.33471%
5867	1319271	1.16390%
18326	1206472	1.06439%
28921	1118694	0.98695%
199	1078695	0.95166%
33535	1047027	0.92372%
6617	1025404	0.90464%
990	994048	0.87698%
7915	990366	0.87373%
776	959674	0.84665%
1540	925991	0.81694%
2051	897280	0.79161%
4065	890847	0.78593%
33	828899	0.73128%
2822	818554	0.72215%
12496	739131	0.65208%
7359	736392	0.64967%
2016	722414	0.63734%
285	719323	0.63461%
476	702702	0.61995%
26259	694622	0.61282%
3206	679952	0.59987%
16040	671498	0.59242%
60282	655595	0.57839%
12885	633635	0.55901%
23305	616907	0.54425%
2710	600648	0.52991%
5120	587091	0.51795%
411	585708	0.51673%
10738	551243	0.48632%
1133	550826	0.48596%
105	528674	0.46641%
1924	524865	0.46305%
14857	518507	0.45744%
13252	500291	0.44137%
12438	486720	0.42940%
20921	473603	0.41783%
7117	456891	0.40308%
11044	424472	0.37448%
23440	411627	0.36315%
10703	390845	0.34482%
4878	382485	0.33744%
21581	374421	0.33033%
270803	362996	0.32025%
12883	359273	0.31696%
7078	358353	0.31615%
834	357718	0.31559%
3418	344409	0.30385%
1078	343971	0.30346%
21813	338111	0.29829%
3624	335253	0.29577%
3636	328128	0.28948%
13009	315518	0.27836%
1755	299480	0.26421%
38364	299430	0.26417%
1831	294998	0.26026%
9824	293634	0.25905%
39350	286327	0.25261%
11835	285722	0.25207%
1265	283523	0.25013%
2928	269488	0.23775%
6050	269325	0.23761%
18746	264363	0.23323%
5467	261127	0.23037%
7870	260831	0.23011%
4381	252069	0.22238%
815	248473	0.21921%
8164	242258	0.21373%
18050	242054	0.21355%
4151	236584	0.20872%
26750	235914	0.20813%
28574	232852	0.20543%
1984	232328	0.20497%
16147	226747	0.20004%
5394	222238	0.19607%
21381	211484	0.18658%
55660	211169	0.18630%
127	210378	0.18560%
2879	205479	0.18128%
863	204362	0.18029%
19897	200294	0.17671%
33812	199744	0.17622%
273	195685	0.17264%
111826	193201	0.17045%
1500	192321	0.16967%
5272	191342	0.16881%
9110	183713	0.16208%
26437	183601	0.16198%
1063	180866	0.15957%
57712	180864	0.15956%
578	178018	0.15705%
9545	177258	0.15638%
9468	176403	0.15563%
4388	174919	0.15432%
13232	173276	0.15287%
38186	171408	0.15122%
432	168964	0.14907%
18954	162502	0.14336%
7605	161246	0.14226%
903	159091	0.14036%
40458	157558	0.13900%
2912	157465	0.13892%
4887	156328	0.13792%
3461	155174	0.13690%
6330	154922	0.13668%
4903	153607	0.13552%
9692	150274	0.13258%
84901	144984	0.12791%
5525	144932	0.12786%
4246	143507	0.12661%
21554	142737	0.12593%
11786	142735	0.12593%
1277	141244	0.12461%
20680	139611	0.12317%
22059	137274	0.12111%
36802	137234	0.12107%
47337	136435	0.12037%
5523	135767	0.11978%
842	135036	0.11913%
8647	134112	0.11832%
4605	133735	0.11799%
35934	133314	0.11761%
211	132248	0.11667%
13904	131747	0.11623%
18654	131229	0.11577%
3095	130959	0.11554%
7253	130655	0.11527%
1586	130227	0.11489%
1833	129375	0.11414%
3334	128002	0.11293%
3501	127131	0.11216%
2841	121995	0.10763%
212	121835	0.10749%
3929	119772	0.10567%
1051	118672	0.10470%
1467	117566	0.10372%
115499	117087	0.10330%
32468	113104	0.09978%
19173	112786	0.09950%
7622	112673	0.09940%
136501	111855	0.09868%
210245	111736	0.09858%
46983	111496	0.09837%
1146	110451	0.09744%
7443	108928	0.09610%
12359	105643	0.09320%
15876	105356	0.09295%
36759	105224	0.09283%
39636	104274	0.09199%
64271	103503	0.09131%
9639	103059	0.09092%
5574	102407	0.09035%
24691	102325	0.09027%
70602	101847	0.08985%
26967	99763	0.08801%
46927	98181	0.08662%
50986	96511	0.08515%
10392	95768	0.08449%
4620	95231	0.08402%
7556	94345	0.08323%
21656	94160	0.08307%
828	94042	0.08297%
6181	92566	0.08166%
16278	91478	0.08070%
2419	91083	0.08036%
26303	90278	0.07965%
11667	90005	0.07941%
6648	89031	0.07855%
46554	88260	0.07787%
946	87981	0.07762%
12420	87740	0.07741%
9957	87629	0.07731%
549	87603	0.07729%
15696	86551	0.07636%
545	85983	0.07586%
3295	85203	0.07517%
1775	84836	0.07484%
2345	83745	0.07388%
600	82129	0.07246%
10262	81739	0.07211%
7333	81174	0.07161%
17783	80602	0.07111%
1079	79812	0.07041%
99775	78473	0.06923%
14947	77715	0.06856%
643	75154	0.06630%
5921	74465	0.06570%
19431	73887	0.06519%
1330	73836	0.06514%
22280	73366	0.06473%
12084	72965	0.06437%
167826	72181	0.06368%
14300	72123	0.06363%
22617	72074	0.06359%
126797	71401	0.06299%
156754	68599	0.06052%
11287	68545	0.06047%
550	68532	0.06046%
1913	68411	0.06035%
374	67271	0.05935%
16571	67154	0.05925%
11503	67147	0.05924%
54742	66542	0.05871%
155	65659	0.05793%
6780	65523	0.05781%
6451	65285	0.05760%
20598	65101	0.05743%
3976	64948	0.05730%
729	64667	0.05705%
23584	64339	0.05676%
2979	64107	0.05656%
621	63709	0.05621%
2620	63703	0.05620%
29222	63130	0.05570%
138927	62587	0.05522%
64032	61559	0.05431%
9376	61498	0.05426%
5500	60913	0.05374%
29920	60628	0.05349%
17559	59907	0.05285%
9917	57855	0.05104%
31880	57543	0.05077%
17418	56957	0.05025%
1102	56454	0.04981%
38235	56261	0.04964%
4867	56173	0.04956%
5122	55918	0.04933%
485	55804	0.04923%
102772	55564	0.04902%
17100	55117	0.04863%
10535	55012	0.04853%
25695	54990	0.04851%
22678	54534	0.04811%
16853	54412	0.04800%
20821	53895	0.04755%
21451	53122	0.04687%
2007	52832	0.04661%
791	51835	0.04573%
5457	51328	0.04528%
47598	50860	0.04487%
4373	50755	0.04478%
62954	50214	0.04430%
15250	49835	0.04397%
8397	49711	0.04386%
21452	49524	0.04369%
4744	49520	0.04369%
1109	49265	0.04346%
8713	49169	0.04338%
70936	48708	0.04297%
1806	48485	0.04277%
4244	47743	0.04212%
1200	47733	0.04211%
7681	47605	0.04200%
42651	47310	0.04174%
64128	47227	0.04167%
3305	46853	0.04134%
34265	45964	0.04055%
2642	45716	0.04033%
13852	45517	0.04016%
76456	45326	0.03999%
1701	45211	0.03989%
55388	44749	0.03948%
5140	44737	0.03947%
3638	44392	0.03916%
13841	44001	0.03882%
50911	43862	0.03870%
6496	43240	0.03815%
267	43139	0.03806%
50556	42714	0.03768%
12737	42395	0.03740%
33973	42115	0.03716%
3163	42102	0.03714%
38922	41975	0.03703%
37290	41773	0.03685%
15773	41062	0.03623%
23133	40087	0.03537%
4513	39857	0.03516%
91282	39521	0.03487%
15515	39348	0.03471%
1482	39041	0.03444%
1279	38982	0.03439%
11960	38972	0.03438%
6599	38873	0.03429%
90765	38390	0.03387%
2592	38185	0.03369%
3628	37793	0.03334%
2431	37776	0.03333%
3230	37735	0.03329%
24575	37731	0.03329%
27769	37427	0.03302%
73770	37141	0.03277%
105644	37105	0.03274%
7982	36944	0.03259%
2246	35817	0.03160%
56251	35391	0.03122%
14551	34962	0.03084%
29630	34951	0.03083%
13633	34935	0.03082%
55503	34601	0.03053%
636	34567	0.03050%
767	34261	0.03023%
10158	33482	0.02954%
27760	33198	0.02929%
779	33131	0.02923%
48844	33076	0.02918%
7704	32379	0.02857%
257	32282	0.02848%
8133	31844	0.02809%
12076	31758	0.02802%
11695	31697	0.02796%
34982	31465	0.02776%
4457	31430	0.02773%
90213	31174	0.02750%
102	30736	0.02712%
33470	30736	0.02712%
4413	30725	0.02711%
49488	30683	0.02707%
7555	30615	0.02701%
11199	30527	0.02693%
52535	30209	0.02665%
2450	29865	0.02635%
9616	29783	0.02628%
1003	29293	0.02584%
26329	28268	0.02494%
1030	27678	0.02442%
35541	27613	0.02436%
17438	27081	0.02389%
19255	27053	0.02387%
14208	27048	0.02386%
161	26672	0.02353%
13339	26644	0.02351%
62400	26592	0.02346%
25219	26582	0.02345%
15137	26458	0.02334%
80926	26415	0.02330%
61812	26350	0.02325%
35053	26281	0.02319%
