#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Seed_S6_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Seed_S6_R2_001.fastq.gz
#Total	102487828
#Matched	8597903	8.38919%
#Name	Reads	ReadsPct
14947	725068	0.70747%
59179	667592	0.65139%
24575	474289	0.46278%
130543	426013	0.41567%
65242	302943	0.29559%
5463	258206	0.25194%
12496	204803	0.19983%
25116	137334	0.13400%
990	127135	0.12405%
17783	125200	0.12216%
63401	123694	0.12069%
1586	107777	0.10516%
92813	103881	0.10136%
4157	78951	0.07703%
53749	78513	0.07661%
33587	58908	0.05748%
11186	58268	0.05685%
50235	51219	0.04998%
60957	51164	0.04992%
21581	50872	0.04964%
1540	49493	0.04829%
36222	44816	0.04373%
1776	43866	0.04280%
71521	43716	0.04265%
199	42021	0.04100%
1032	40910	0.03992%
63693	40641	0.03965%
107133	39001	0.03805%
956	38010	0.03709%
3206	37625	0.03671%
11539	36364	0.03548%
68926	36089	0.03521%
476	35513	0.03465%
12218	34424	0.03359%
1445	34163	0.03333%
105	34010	0.03318%
43	33495	0.03268%
5394	32170	0.03139%
1924	30935	0.03018%
38364	30477	0.02974%
30406	29544	0.02883%
26259	29344	0.02863%
17637	29282	0.02857%
37127	28790	0.02809%
50986	28774	0.02808%
80934	28182	0.02750%
3972	27621	0.02695%
1133	27609	0.02694%
39166	26622	0.02598%
11835	26535	0.02589%
21381	26497	0.02585%
40410	24992	0.02439%
10269	24728	0.02413%
64032	23833	0.02325%
13904	22878	0.02232%
34806	22703	0.02215%
8706	22573	0.02203%
29946	22466	0.02192%
217	22296	0.02175%
66	22053	0.02152%
3636	21680	0.02115%
29080	21669	0.02114%
4818	21505	0.02098%
33535	21359	0.02084%
411	21326	0.02081%
1755	21295	0.02078%
285	21244	0.02073%
12885	20959	0.02045%
17241	20022	0.01954%
23440	19815	0.01933%
9545	18793	0.01834%
3418	18522	0.01807%
20921	17756	0.01732%
1775	17677	0.01725%
39636	17442	0.01702%
5120	17408	0.01699%
12438	16791	0.01638%
776	16370	0.01597%
18326	15660	0.01528%
16040	15551	0.01517%
60282	15520	0.01514%
44694	15428	0.01505%
9468	15394	0.01502%
47598	15352	0.01498%
14857	15331	0.01496%
550	15206	0.01484%
21780	15204	0.01483%
1500	15073	0.01471%
14300	15046	0.01468%
6648	14948	0.01459%
4381	14917	0.01455%
61	14782	0.01442%
786	14438	0.01409%
4903	14346	0.01400%
6617	14230	0.01388%
6050	14124	0.01378%
4977	14123	0.01378%
33	14115	0.01377%
5867	14054	0.01371%
172355	13691	0.01336%
2879	13665	0.01333%
11044	13623	0.01329%
2419	13565	0.01324%
8647	13557	0.01323%
5140	13456	0.01313%
64271	13429	0.01310%
4887	13329	0.01301%
120574	13231	0.01291%
11690	13115	0.01280%
4526	12900	0.01259%
26750	12841	0.01253%
6451	12575	0.01227%
2841	12362	0.01206%
58411	12337	0.01204%
211	12321	0.01202%
828	12169	0.01187%
46554	12069	0.01178%
4151	12014	0.01172%
19431	11720	0.01144%
84901	11542	0.01126%
26437	11285	0.01101%
2928	11169	0.01090%
40126	10973	0.01071%
5574	10957	0.01069%
3095	10933	0.01067%
70936	10930	0.01066%
9957	10892	0.01063%
35541	10657	0.01040%
7915	10604	0.01035%
47337	10497	0.01024%
7253	10331	0.01008%
4605	10290	0.01004%
10262	10229	0.00998%
210245	10229	0.00998%
19720	10178	0.00993%
10158	10083	0.00984%
12151	10067	0.00982%
13252	10035	0.00979%
903	9837	0.00960%
1265	9789	0.00955%
1831	9742	0.00951%
13009	9641	0.00941%
5427	9568	0.00934%
10703	9564	0.00933%
136501	9365	0.00914%
5448	9337	0.00911%
34265	9253	0.00903%
9824	9206	0.00898%
90213	9180	0.00896%
4513	9110	0.00889%
13232	9100	0.00888%
112090	8887	0.00867%
10738	8850	0.00864%
28921	8795	0.00858%
217873	8758	0.00855%
578	8608	0.00840%
4878	8573	0.00836%
35934	8439	0.00823%
3929	8421	0.00822%
6780	8409	0.00820%
39350	8394	0.00819%
1833	8368	0.00816%
4744	8330	0.00813%
545	8310	0.00811%
5272	8291	0.00809%
270803	8268	0.00807%
4246	8154	0.00796%
2691	8113	0.00792%
1984	8070	0.00787%
2016	8016	0.00782%
24239	8016	0.00782%
138927	7983	0.00779%
162	7976	0.00778%
4065	7934	0.00774%
100058	7874	0.00768%
273	7870	0.00768%
41144	7789	0.00760%
13689	7752	0.00756%
7078	7657	0.00747%
20680	7612	0.00743%
18954	7591	0.00741%
70602	7582	0.00740%
1296	7426	0.00725%
11503	7418	0.00724%
29222	7397	0.00722%
11786	7380	0.00720%
5921	7326	0.00715%
15876	7259	0.00708%
18050	7162	0.00699%
68623	7153	0.00698%
21656	7125	0.00695%
55615	7088	0.00692%
33513	7067	0.00690%
2822	7062	0.00689%
3461	7057	0.00689%
834	7053	0.00688%
2710	7002	0.00683%
29630	6966	0.00680%
7622	6907	0.00674%
863	6866	0.00670%
7704	6827	0.00666%
80926	6764	0.00660%
1467	6743	0.00658%
9110	6693	0.00653%
94913	6671	0.00651%
36802	6568	0.00641%
21092	6549	0.00639%
7556	6526	0.00637%
11497	6515	0.00636%
5467	6491	0.00633%
38418	6490	0.00633%
13852	6463	0.00631%
3295	6376	0.00622%
1078	6316	0.00616%
50911	6297	0.00614%
21813	6280	0.00613%
57712	6230	0.00608%
2912	6112	0.00596%
1057	5957	0.00581%
3624	5956	0.00581%
2584	5952	0.00581%
2051	5899	0.00576%
9639	5884	0.00574%
12420	5857	0.00571%
729	5849	0.00571%
31880	5836	0.00569%
99775	5822	0.00568%
18746	5814	0.00567%
70262	5762	0.00562%
33812	5752	0.00561%
815	5698	0.00556%
2323	5676	0.00554%
22280	5596	0.00546%
2979	5587	0.00545%
15696	5584	0.00545%
26303	5581	0.00545%
53965	5558	0.00542%
8164	5545	0.00541%
21071	5532	0.00540%
33470	5310	0.00518%
55388	5274	0.00515%
36759	5259	0.00513%
374	5255	0.00513%
1102	5232	0.00510%
3334	5175	0.00505%
4325	5174	0.00505%
24691	5156	0.00503%
2529	5154	0.00503%
5451	5133	0.00501%
167826	5045	0.00492%
1203	5020	0.00490%
1701	5019	0.00490%
13633	4994	0.00487%
84975	4983	0.00486%
8397	4956	0.00484%
16278	4920	0.00480%
917	4914	0.00479%
17418	4869	0.00475%
212	4854	0.00474%
46927	4830	0.00471%
37290	4824	0.00471%
55660	4791	0.00467%
21554	4682	0.00457%
83	4662	0.00455%
23353	4658	0.00454%
67851	4656	0.00454%
23133	4653	0.00454%
20821	4650	0.00454%
32630	4634	0.00452%
23305	4622	0.00451%
76457	4588	0.00448%
15250	4552	0.00444%
58297	4538	0.00443%
9376	4523	0.00441%
15572	4500	0.00439%
127	4482	0.00437%
16147	4454	0.00435%
1806	4454	0.00435%
28120	4393	0.00429%
111826	4381	0.00427%
12084	4380	0.00427%
35053	4362	0.00426%
7870	4349	0.00424%
105644	4290	0.00419%
12359	4269	0.00417%
5525	4265	0.00416%
17100	4192	0.00409%
3	4182	0.00408%
7298	4170	0.00407%
22678	4155	0.00405%
842	4084	0.00398%
9917	4065	0.00397%
42651	4017	0.00392%
