#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Sheath_S3_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Sheath_S3_R2_001.fastq.gz
#Total	125653720
#Matched	80098850	63.74571%
#Name	Reads	ReadsPct
80934	3600409	2.86534%
1776	3503536	2.78825%
37127	2753590	2.19141%
1445	2144188	1.70643%
17241	2004946	1.59561%
50235	1977692	1.57392%
29946	1834210	1.45973%
1032	1492695	1.18794%
3972	1301645	1.03590%
43	1251624	0.99609%
5867	1221586	0.97218%
990	1073124	0.85403%
12496	978914	0.77906%
33535	951041	0.75687%
1540	929827	0.73999%
199	832643	0.66265%
6617	823488	0.65536%
18326	800795	0.63730%
776	769542	0.61243%
7915	750556	0.59732%
28921	731682	0.58230%
26259	674275	0.53661%
285	669782	0.53304%
16040	632324	0.50323%
1924	596916	0.47505%
2051	588723	0.46853%
476	585448	0.46592%
3206	567464	0.45161%
4065	558393	0.44439%
60282	551095	0.43858%
12885	499980	0.39790%
20921	498637	0.39683%
14857	487315	0.38782%
1133	486518	0.38719%
2016	475794	0.37865%
33	466017	0.37087%
411	464986	0.37005%
2710	464566	0.36972%
5120	464307	0.36951%
105	455208	0.36227%
2822	452485	0.36010%
10738	440641	0.35068%
13252	404080	0.32158%
12438	402233	0.32011%
11044	399407	0.31786%
7359	389026	0.30960%
23305	386976	0.30797%
4878	363730	0.28947%
270803	359284	0.28593%
21581	357225	0.28429%
23440	355641	0.28303%
13009	353515	0.28134%
3418	329408	0.26216%
3624	310393	0.24702%
6050	308745	0.24571%
10703	306213	0.24370%
1831	289741	0.23059%
2928	287022	0.22842%
9824	283659	0.22575%
38364	276070	0.21971%
1078	273309	0.21751%
1755	264794	0.21073%
4381	264297	0.21034%
5467	261281	0.20794%
5394	259783	0.20675%
3636	256911	0.20446%
7078	246769	0.19639%
11835	242888	0.19330%
7117	241982	0.19258%
21813	226472	0.18024%
1265	225924	0.17980%
1500	218573	0.17395%
18746	218095	0.17357%
39350	210970	0.16790%
18050	210509	0.16753%
4151	208959	0.16630%
9545	206418	0.16428%
26750	206162	0.16407%
2879	202499	0.16116%
834	202175	0.16090%
8164	198253	0.15778%
16147	197841	0.15745%
7870	195553	0.15563%
578	194623	0.15489%
13904	189753	0.15101%
1984	188074	0.14968%
33812	188054	0.14966%
21381	186260	0.14823%
28574	183970	0.14641%
9110	183811	0.14628%
12883	182487	0.14523%
26437	182383	0.14515%
863	176059	0.14011%
815	171657	0.13661%
55660	168010	0.13371%
273	160889	0.12804%
13232	157241	0.12514%
6330	157137	0.12506%
9468	153900	0.12248%
1586	153071	0.12182%
1063	152908	0.12169%
111826	150549	0.11981%
127	150193	0.11953%
903	149286	0.11881%
2912	148957	0.11855%
4903	146284	0.11642%
4605	144179	0.11474%
11786	141095	0.11229%
7253	140170	0.11155%
432	138075	0.10989%
5272	136994	0.10903%
4388	135782	0.10806%
3461	135614	0.10793%
3334	134319	0.10690%
57712	134165	0.10677%
1833	133836	0.10651%
1277	133260	0.10605%
3095	133009	0.10585%
8647	132709	0.10561%
7605	130695	0.10401%
7556	130272	0.10368%
18954	130002	0.10346%
39636	129156	0.10279%
842	128772	0.10248%
19897	128431	0.10221%
4887	127366	0.10136%
38186	127341	0.10134%
5523	126853	0.10095%
40458	125224	0.09966%
4246	121997	0.09709%
6648	121462	0.09666%
1775	121399	0.09661%
47337	121355	0.09658%
20680	120509	0.09591%
1146	120502	0.09590%
5525	120400	0.09582%
211	119374	0.09500%
84901	119233	0.09489%
35934	118349	0.09419%
210245	118068	0.09396%
9692	115997	0.09231%
1467	115918	0.09225%
212	115908	0.09224%
7622	115183	0.09167%
3501	114026	0.09075%
5574	112393	0.08945%
36802	112383	0.08944%
46554	111379	0.08864%
9639	110988	0.08833%
64271	109769	0.08736%
10262	109166	0.08688%
21554	108462	0.08632%
136501	106062	0.08441%
3929	105851	0.08424%
7443	102330	0.08144%
2841	102051	0.08122%
2419	100567	0.08004%
70602	98810	0.07864%
9957	97652	0.07772%
26967	95745	0.07620%
19173	95714	0.07617%
50986	95093	0.07568%
12359	94773	0.07542%
14947	93898	0.07473%
1051	92965	0.07399%
115499	92835	0.07388%
545	92341	0.07349%
22059	92098	0.07330%
19431	91950	0.07318%
46927	90826	0.07228%
374	88908	0.07076%
138927	87262	0.06945%
46983	86378	0.06874%
18654	85163	0.06778%
99775	84831	0.06751%
36759	84504	0.06725%
24691	84485	0.06724%
16278	83180	0.06620%
32468	83038	0.06608%
12420	82652	0.06578%
4620	82233	0.06544%
828	81253	0.06466%
29222	80684	0.06421%
946	80549	0.06410%
14300	79916	0.06360%
15696	79821	0.06352%
600	79364	0.06316%
22280	78402	0.06240%
47598	77887	0.06199%
550	77753	0.06188%
64032	77439	0.06163%
7333	73554	0.05854%
23584	73292	0.05833%
22617	72701	0.05786%
1913	72485	0.05769%
5140	72031	0.05733%
17783	71869	0.05720%
26303	71007	0.05651%
549	70818	0.05636%
11503	70668	0.05624%
13852	70384	0.05601%
21656	70361	0.05600%
11667	70028	0.05573%
2979	69372	0.05521%
15876	68701	0.05467%
34265	68605	0.05460%
3295	68511	0.05452%
729	67716	0.05389%
11287	67698	0.05388%
10392	67560	0.05377%
5921	66457	0.05289%
17418	66439	0.05287%
12084	66234	0.05271%
1079	66150	0.05264%
20598	64358	0.05122%
1330	64348	0.05121%
156754	63598	0.05061%
167826	63359	0.05042%
17100	63039	0.05017%
17559	62352	0.04962%
20821	62294	0.04958%
6780	61527	0.04897%
1806	61243	0.04874%
2620	60463	0.04812%
155	59617	0.04745%
2345	59306	0.04720%
126797	59262	0.04716%
6181	59076	0.04701%
54742	58900	0.04687%
3976	58746	0.04675%
21451	58472	0.04653%
1102	58039	0.04619%
9917	57747	0.04596%
50911	57411	0.04569%
15250	57293	0.04560%
8397	55971	0.04454%
6451	55903	0.04449%
485	54584	0.04344%
621	53194	0.04233%
643	52860	0.04207%
5122	51966	0.04136%
10535	50945	0.04054%
22678	50545	0.04023%
4867	50323	0.04005%
38235	50279	0.04001%
29920	49105	0.03908%
23133	49057	0.03904%
7681	49044	0.03903%
4744	48725	0.03878%
21452	47280	0.03763%
791	46499	0.03701%
1482	46091	0.03668%
9376	45919	0.03654%
16571	45812	0.03646%
267	45596	0.03629%
76456	45293	0.03605%
33470	44873	0.03571%
24575	44629	0.03552%
4373	44536	0.03544%
33973	44456	0.03538%
16853	44247	0.03521%
12737	43961	0.03499%
31880	43800	0.03486%
2007	43758	0.03482%
25695	43576	0.03468%
1109	43561	0.03467%
1701	43543	0.03465%
4513	43431	0.03456%
5500	43293	0.03445%
1200	43184	0.03437%
3163	42917	0.03415%
70936	41899	0.03334%
102772	41727	0.03321%
55388	41111	0.03272%
90213	40401	0.03215%
73770	40390	0.03214%
6599	40205	0.03200%
3230	40183	0.03198%
13633	39974	0.03181%
4244	39262	0.03125%
42651	39244	0.03123%
29630	39219	0.03121%
64128	39205	0.03120%
779	38709	0.03081%
8713	37884	0.03015%
5457	37381	0.02975%
257	37366	0.02974%
14551	37323	0.02970%
6496	37287	0.02967%
37290	37116	0.02954%
34982	37027	0.02947%
62954	36895	0.02936%
15773	36820	0.02930%
3628	36504	0.02905%
27769	36381	0.02895%
3305	35882	0.02856%
80926	35716	0.02842%
3638	35393	0.02817%
636	34582	0.02752%
10158	34359	0.02734%
38922	33451	0.02662%
19151	33185	0.02641%
7982	32845	0.02614%
55503	32833	0.02613%
54118	32665	0.02600%
7704	32537	0.02589%
50556	32112	0.02556%
2246	32089	0.02554%
15515	32040	0.02550%
2450	32030	0.02549%
35541	31963	0.02544%
767	31882	0.02537%
1003	31347	0.02495%
35053	31237	0.02486%
13841	30920	0.02461%
2592	30695	0.02443%
