#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Stem_S7_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Stem_S7_R2_001.fastq.gz
#Total	120941380
#Matched	54519582	45.07935%
#Name	Reads	ReadsPct
1776	2225269	1.83996%
80934	2125250	1.75726%
37127	1758259	1.45381%
50235	1470023	1.21548%
1445	1235851	1.02186%
17241	1056078	0.87321%
29946	1046793	0.86554%
1032	1018009	0.84174%
12496	985083	0.81451%
43	914917	0.75650%
5867	831012	0.68712%
3972	827588	0.68429%
990	813075	0.67229%
1540	681831	0.56377%
33535	643863	0.53238%
776	557088	0.46063%
199	542771	0.44879%
6617	529148	0.43752%
285	494308	0.40872%
7915	487803	0.40334%
18326	469895	0.38853%
26259	466965	0.38611%
28921	451569	0.37338%
16040	436983	0.36132%
1924	433061	0.35808%
476	392519	0.32455%
3206	378202	0.31272%
60282	371105	0.30685%
20921	361798	0.29915%
14857	346376	0.28640%
4065	336622	0.27833%
2051	335750	0.27761%
12885	331498	0.27410%
1133	322365	0.26655%
2710	321027	0.26544%
105	311594	0.25764%
411	306726	0.25362%
5120	294744	0.24371%
270803	287954	0.23809%
10738	287700	0.23788%
33	283225	0.23418%
2822	272318	0.22517%
4878	271332	0.22435%
13252	271034	0.22410%
12438	270992	0.22407%
11044	269439	0.22278%
2016	260873	0.21570%
13009	248827	0.20574%
21581	245831	0.20326%
3418	240158	0.19857%
7359	235124	0.19441%
23305	233588	0.19314%
23440	225471	0.18643%
6050	225420	0.18639%
5394	213597	0.17661%
3624	209957	0.17360%
1831	208711	0.17257%
1078	204505	0.16909%
4381	201632	0.16672%
2928	201483	0.16660%
10703	199344	0.16483%
5467	198125	0.16382%
9824	197110	0.16298%
38364	196209	0.16223%
1755	176529	0.14596%
7078	172046	0.14226%
1500	167324	0.13835%
11835	163999	0.13560%
3636	161029	0.13315%
1265	158481	0.13104%
13904	157773	0.13045%
9545	155466	0.12855%
18050	152455	0.12606%
26750	147480	0.12194%
21813	141726	0.11719%
2879	141676	0.11714%
33812	141494	0.11699%
18746	141102	0.11667%
4151	139284	0.11517%
578	138111	0.11420%
26437	137762	0.11391%
9110	136387	0.11277%
8164	131326	0.10859%
39350	131220	0.10850%
7117	131004	0.10832%
16147	127050	0.10505%
7870	126734	0.10479%
1984	125806	0.10402%
28574	125758	0.10398%
21381	125428	0.10371%
834	119954	0.09918%
863	118721	0.09816%
13232	115763	0.09572%
815	113858	0.09414%
7556	112163	0.09274%
1586	110174	0.09110%
4605	109800	0.09079%
2912	108505	0.08972%
6330	106936	0.08842%
6648	105870	0.08754%
273	105049	0.08686%
9468	103498	0.08558%
903	103429	0.08552%
11786	103318	0.08543%
7253	102914	0.08509%
55660	102843	0.08504%
8647	99981	0.08267%
1063	99932	0.08263%
39636	99752	0.08248%
4903	99508	0.08228%
432	98020	0.08105%
1833	97772	0.08084%
842	97113	0.08030%
1277	96387	0.07970%
127	96299	0.07962%
4388	95800	0.07921%
46554	95716	0.07914%
111826	95649	0.07909%
3334	94784	0.07837%
1775	94716	0.07832%
3095	93439	0.07726%
12883	93227	0.07708%
211	93018	0.07691%
7605	92581	0.07655%
2841	92545	0.07652%
5523	91376	0.07555%
40458	89790	0.07424%
38186	89623	0.07410%
210245	88350	0.07305%
1146	87763	0.07257%
18954	87603	0.07243%
84901	86952	0.07190%
5525	86498	0.07152%
4246	86382	0.07142%
47337	85811	0.07095%
10262	85494	0.07069%
20680	84910	0.07021%
3461	84622	0.06997%
9639	84205	0.06962%
57712	84137	0.06957%
1467	83946	0.06941%
4887	83936	0.06940%
212	83916	0.06939%
7622	82745	0.06842%
3501	81448	0.06735%
64271	81095	0.06705%
3929	80648	0.06668%
5272	79500	0.06573%
19897	78778	0.06514%
5574	78411	0.06483%
35934	76403	0.06317%
136501	75602	0.06251%
138927	75587	0.06250%
9692	74963	0.06198%
2419	73991	0.06118%
9957	73728	0.06096%
36802	73692	0.06093%
7443	73259	0.06057%
828	73074	0.06042%
47598	72363	0.05983%
50986	70460	0.05826%
14947	69280	0.05728%
19431	69009	0.05706%
1051	68622	0.05674%
26967	68465	0.05661%
99775	67965	0.05620%
115499	67896	0.05614%
374	66059	0.05462%
70602	65921	0.05451%
46927	65503	0.05416%
545	65283	0.05398%
12420	64379	0.05323%
12359	64068	0.05297%
21554	63852	0.05280%
5140	63440	0.05246%
29222	62440	0.05163%
14300	61240	0.05064%
13852	60823	0.05029%
550	60390	0.04993%
19173	60264	0.04983%
90213	59515	0.04921%
22280	59500	0.04920%
600	58155	0.04809%
15696	58048	0.04800%
22059	57872	0.04785%
64032	57737	0.04774%
946	57253	0.04734%
36759	56192	0.04646%
24691	56073	0.04636%
16278	55258	0.04569%
18654	54969	0.04545%
1913	54956	0.04544%
2979	54074	0.04471%
32468	53707	0.04441%
4620	53685	0.04439%
23584	53615	0.04433%
11503	53125	0.04393%
34265	52985	0.04381%
46983	52564	0.04346%
26303	52538	0.04344%
22617	51371	0.04248%
20598	50784	0.04199%
20821	50570	0.04181%
10392	50560	0.04181%
17418	50121	0.04144%
11287	49585	0.04100%
7333	49501	0.04093%
17559	49081	0.04058%
17783	48996	0.04051%
5921	48634	0.04021%
729	48215	0.03987%
1079	47829	0.03955%
50911	47484	0.03926%
21656	46841	0.03873%
6780	46411	0.03837%
2620	45487	0.03761%
156754	45246	0.03741%
17100	45104	0.03729%
12084	45013	0.03722%
15876	44977	0.03719%
3295	44088	0.03645%
11667	43677	0.03611%
1330	43528	0.03599%
167826	43360	0.03585%
1102	43188	0.03571%
9917	42944	0.03551%
3976	42885	0.03546%
621	42393	0.03505%
155	42341	0.03501%
1806	42104	0.03481%
8397	41679	0.03446%
549	41454	0.03428%
15250	41173	0.03404%
6451	41023	0.03392%
21451	40744	0.03369%
54742	40484	0.03347%
485	40272	0.03330%
126797	40066	0.03313%
5122	39220	0.03243%
23133	38963	0.03222%
38235	36774	0.03041%
4867	36649	0.03030%
6181	36404	0.03010%
2345	36024	0.02979%
7704	35981	0.02975%
76456	35532	0.02938%
791	35250	0.02915%
21452	35200	0.02911%
7681	35191	0.02910%
44694	34985	0.02893%
10535	34949	0.02890%
33973	34905	0.02886%
24575	34641	0.02864%
4744	34374	0.02842%
33470	33845	0.02798%
22678	33299	0.02753%
1482	32837	0.02715%
4513	32681	0.02702%
1109	32521	0.02689%
6599	32444	0.02683%
267	32150	0.02658%
29920	31886	0.02636%
779	31855	0.02634%
12737	31400	0.02596%
30406	31097	0.02571%
3230	30898	0.02555%
68623	30863	0.02552%
643	30787	0.02546%
14551	30340	0.02509%
34982	30319	0.02507%
73770	30012	0.02482%
55388	29750	0.02460%
64128	29676	0.02454%
42651	29671	0.02453%
4373	29667	0.02453%
25695	29351	0.02427%
1200	29103	0.02406%
1701	29077	0.02404%
9376	28954	0.02394%
29630	28888	0.02389%
16571	28770	0.02379%
2007	28682	0.02372%
3163	28548	0.02360%
15773	28354	0.02344%
13633	27794	0.02298%
19151	27765	0.02296%
5500	27651	0.02286%
31880	27275	0.02255%
4244	27058	0.02237%
257	26875	0.02222%
16853	26562	0.02196%
70936	26433	0.02186%
5457	26388	0.02182%
636	26372	0.02181%
