Gene.ID,Transcript.ID,CDS.Type,UTR.Type
GUJ93_ZPchr0001g29228,gnl|KimballUMN|GUJ93_ZPchr0001g29228-1,1,1
GUJ93_ZPchr0001g29229,gnl|KimballUMN|GUJ93_ZPchr0001g29229-1,1,1
GUJ93_ZPchr0001g29230,gnl|KimballUMN|GUJ93_ZPchr0001g29230-1,1,1
GUJ93_ZPchr0001g29231,gnl|KimballUMN|GUJ93_ZPchr0001g29231-1,1,1
GUJ93_ZPchr0001g29232,gnl|KimballUMN|GUJ93_ZPchr0001g29232-1,1,1
GUJ93_ZPchr0001g29233,gnl|KimballUMN|GUJ93_ZPchr0001g29233-1,1,1
GUJ93_ZPchr0001g29234,gnl|KimballUMN|GUJ93_ZPchr0001g29234-1,1,1
GUJ93_ZPchr0001g29235,gnl|KimballUMN|GUJ93_ZPchr0001g29235-1,1,1
GUJ93_ZPchr0001g29236,gnl|KimballUMN|GUJ93_ZPchr0001g29236-1,1,1
GUJ93_ZPchr0001g29237,gnl|KimballUMN|GUJ93_ZPchr0001g29237-1,1,1
GUJ93_ZPchr0001g29237,gnl|KimballUMN|GUJ93_ZPchr0001g29237-2,2,1
GUJ93_ZPchr0001g29237,gnl|KimballUMN|GUJ93_ZPchr0001g29237-4,3,1
GUJ93_ZPchr0001g29237,gnl|KimballUMN|GUJ93_ZPchr0001g29237-3,4,1
GUJ93_ZPchr0001g29238,gnl|KimballUMN|GUJ93_ZPchr0001g29238-1,1,1
GUJ93_ZPchr0001g29239,gnl|KimballUMN|GUJ93_ZPchr0001g29239-1,1,1
GUJ93_ZPchr0001g29240,gnl|KimballUMN|GUJ93_ZPchr0001g29240-1,1,1
GUJ93_ZPchr0001g29241,gnl|KimballUMN|GUJ93_ZPchr0001g29241-1,1,1
GUJ93_ZPchr0001g29242,gnl|KimballUMN|GUJ93_ZPchr0001g29242-1,1,1
GUJ93_ZPchr0001g29242,gnl|KimballUMN|GUJ93_ZPchr0001g29242-2,2,1
GUJ93_ZPchr0001g29243,gnl|KimballUMN|GUJ93_ZPchr0001g29243-1,1,1
GUJ93_ZPchr0001g29244,gnl|KimballUMN|GUJ93_ZPchr0001g29244-1,1,1
GUJ93_ZPchr0001g29245,gnl|KimballUMN|GUJ93_ZPchr0001g29245-1,1,1
GUJ93_ZPchr0001g29246,gnl|KimballUMN|GUJ93_ZPchr0001g29246-1,1,1
GUJ93_ZPchr0001g29247,gnl|KimballUMN|GUJ93_ZPchr0001g29247-1,1,1
GUJ93_ZPchr0001g29248,gnl|KimballUMN|GUJ93_ZPchr0001g29248-2,1,1
GUJ93_ZPchr0001g29248,gnl|KimballUMN|GUJ93_ZPchr0001g29248-1,2,1
GUJ93_ZPchr0001g29249,gnl|KimballUMN|GUJ93_ZPchr0001g29249-1,1,1
GUJ93_ZPchr0001g29250,gnl|KimballUMN|GUJ93_ZPchr0001g29250-1,1,1
GUJ93_ZPchr0001g29251,gnl|KimballUMN|GUJ93_ZPchr0001g29251-1,1,1
GUJ93_ZPchr0001g29252,gnl|KimballUMN|GUJ93_ZPchr0001g29252-1,1,1
GUJ93_ZPchr0001g29253,gnl|KimballUMN|GUJ93_ZPchr0001g29253-1,1,1
GUJ93_ZPchr0001g29254,gnl|KimballUMN|GUJ93_ZPchr0001g29254-1,1,1
GUJ93_ZPchr0001g29255,gnl|KimballUMN|GUJ93_ZPchr0001g29255-1,1,1
GUJ93_ZPchr0001g29255,gnl|KimballUMN|GUJ93_ZPchr0001g29255-2,1,2
GUJ93_ZPchr0001g29256,gnl|KimballUMN|GUJ93_ZPchr0001g29256-1,1,1
GUJ93_ZPchr0001g29257,gnl|KimballUMN|GUJ93_ZPchr0001g29257-1,1,1
GUJ93_ZPchr0001g29258,gnl|KimballUMN|GUJ93_ZPchr0001g29258-1,1,1
GUJ93_ZPchr0001g29259,gnl|KimballUMN|GUJ93_ZPchr0001g29259-1,1,1
GUJ93_ZPchr0001g29260,gnl|KimballUMN|GUJ93_ZPchr0001g29260-1,1,1
GUJ93_ZPchr0001g29261,gnl|KimballUMN|GUJ93_ZPchr0001g29261-1,1,1
GUJ93_ZPchr0001g29262,gnl|KimballUMN|GUJ93_ZPchr0001g29262-1,1,1
GUJ93_ZPchr0001g29262,gnl|KimballUMN|GUJ93_ZPchr0001g29262-2,2,1
GUJ93_ZPchr0001g29263,gnl|KimballUMN|GUJ93_ZPchr0001g29263-1,1,1
GUJ93_ZPchr0001g29264,gnl|KimballUMN|GUJ93_ZPchr0001g29264-1,1,1
GUJ93_ZPchr0001g29265,gnl|KimballUMN|GUJ93_ZPchr0001g29265-1,1,1
GUJ93_ZPchr0001g29265,gnl|KimballUMN|GUJ93_ZPchr0001g29265-2,2,1
GUJ93_ZPchr0001g29266,gnl|KimballUMN|GUJ93_ZPchr0001g29266-1,1,1
GUJ93_ZPchr0001g29267,gnl|KimballUMN|GUJ93_ZPchr0001g29267-1,1,1
GUJ93_ZPchr0001g29268,gnl|KimballUMN|GUJ93_ZPchr0001g29268-1,1,1
GUJ93_ZPchr0001g29269,gnl|KimballUMN|GUJ93_ZPchr0001g29269-1,1,1
GUJ93_ZPchr0001g29269,gnl|KimballUMN|GUJ93_ZPchr0001g29269-2,2,1
GUJ93_ZPchr0001g29270,gnl|KimballUMN|GUJ93_ZPchr0001g29270-1,1,1
GUJ93_ZPchr0001g29271,gnl|KimballUMN|GUJ93_ZPchr0001g29271-1,1,1
GUJ93_ZPchr0001g29271,gnl|KimballUMN|GUJ93_ZPchr0001g29271-2,2,1
GUJ93_ZPchr0001g29272,gnl|KimballUMN|GUJ93_ZPchr0001g29272-1,1,1
GUJ93_ZPchr0001g29273,gnl|KimballUMN|GUJ93_ZPchr0001g29273-1,1,1
GUJ93_ZPchr0001g29274,gnl|KimballUMN|GUJ93_ZPchr0001g29274-1,1,1
GUJ93_ZPchr0001g29274,gnl|KimballUMN|GUJ93_ZPchr0001g29274-2,2,1
GUJ93_ZPchr0001g29275,gnl|KimballUMN|GUJ93_ZPchr0001g29275-1,1,1
GUJ93_ZPchr0001g29276,gnl|KimballUMN|GUJ93_ZPchr0001g29276-1,1,1
GUJ93_ZPchr0001g29277,gnl|KimballUMN|GUJ93_ZPchr0001g29277-1,1,1
GUJ93_ZPchr0001g29278,gnl|KimballUMN|GUJ93_ZPchr0001g29278-1,1,1
GUJ93_ZPchr0001g29279,gnl|KimballUMN|GUJ93_ZPchr0001g29279-1,1,1
GUJ93_ZPchr0001g29280,gnl|KimballUMN|GUJ93_ZPchr0001g29280-1,1,1
GUJ93_ZPchr0001g29281,gnl|KimballUMN|GUJ93_ZPchr0001g29281-1,1,1
GUJ93_ZPchr0001g29282,gnl|KimballUMN|GUJ93_ZPchr0001g29282-1,1,1
GUJ93_ZPchr0001g29283,gnl|KimballUMN|GUJ93_ZPchr0001g29283-1,1,1
GUJ93_ZPchr0001g29284,gnl|KimballUMN|GUJ93_ZPchr0001g29284-1,1,1
GUJ93_ZPchr0001g29285,gnl|KimballUMN|GUJ93_ZPchr0001g29285-2,1,1
GUJ93_ZPchr0001g29285,gnl|KimballUMN|GUJ93_ZPchr0001g29285-1,2,1
GUJ93_ZPchr0001g29286,gnl|KimballUMN|GUJ93_ZPchr0001g29286-1,1,1
GUJ93_ZPchr0001g29287,gnl|KimballUMN|GUJ93_ZPchr0001g29287-1,1,1
GUJ93_ZPchr0001g29287,gnl|KimballUMN|GUJ93_ZPchr0001g29287-2,2,1
GUJ93_ZPchr0001g29288,gnl|KimballUMN|GUJ93_ZPchr0001g29288-1,1,1
GUJ93_ZPchr0001g29289,gnl|KimballUMN|GUJ93_ZPchr0001g29289-1,1,1
GUJ93_ZPchr0001g29290,gnl|KimballUMN|GUJ93_ZPchr0001g29290-1,1,1
GUJ93_ZPchr0001g29291,gnl|KimballUMN|GUJ93_ZPchr0001g29291-1,1,1
GUJ93_ZPchr0001g29292,gnl|KimballUMN|GUJ93_ZPchr0001g29292-1,1,1
GUJ93_ZPchr0001g29293,gnl|KimballUMN|GUJ93_ZPchr0001g29293-1,1,1
GUJ93_ZPchr0001g29294,gnl|KimballUMN|GUJ93_ZPchr0001g29294-1,1,1
GUJ93_ZPchr0001g29295,gnl|KimballUMN|GUJ93_ZPchr0001g29295-1,1,1
GUJ93_ZPchr0001g29295,gnl|KimballUMN|GUJ93_ZPchr0001g29295-4,2,1
GUJ93_ZPchr0001g29295,gnl|KimballUMN|GUJ93_ZPchr0001g29295-3,2,2
GUJ93_ZPchr0001g29295,gnl|KimballUMN|GUJ93_ZPchr0001g29295-2,2,3
GUJ93_ZPchr0001g29296,gnl|KimballUMN|GUJ93_ZPchr0001g29296-1,1,1
GUJ93_ZPchr0001g29297,gnl|KimballUMN|GUJ93_ZPchr0001g29297-1,1,1
GUJ93_ZPchr0001g29298,gnl|KimballUMN|GUJ93_ZPchr0001g29298-1,1,1
