Transcript.ID,Splicing
gnl|KimballUMN|GUJ93_ZPchr0001g29228-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29229-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29230-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29231-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29232-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29233-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29234-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29235-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29236-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29237-1,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29237-2,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29237-3,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29237-4,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29238-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29239-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29240-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29241-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29242-1,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29242-2,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29243-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29244-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29245-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29246-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29247-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29248-1,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29248-2,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29249-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29250-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29251-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29252-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29253-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29254-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29255-1,SameProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29255-2,SameProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29256-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29257-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29258-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29259-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29260-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29261-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29262-1,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29262-2,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29263-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29264-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29265-1,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29265-2,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29266-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29267-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29268-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29269-1,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29269-2,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29270-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29271-1,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29271-2,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29272-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29273-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29274-1,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29274-2,DifferentProduct
gnl|KimballUMN|GUJ93_ZPchr0001g29275-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29276-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29277-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29278-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29279-1,NoAlt
gnl|KimballUMN|GUJ93_ZPchr0001g29280-1,NoAlt
